YEAR_MONTH,REGIONAL_OFFICE_NAME,REGIONAL_OFFICE_CODE,ICB_NAME,ICB_CODE,PCO_NAME,PCO_CODE,PRACTICE_NAME,PRACTICE_CODE,ADDRESS_1,ADDRESS_2,ADDRESS_3,ADDRESS_4,POSTCODE,BNF_CHEMICAL_SUBSTANCE,CHEMICAL_SUBSTANCE_BNF_DESCR,BNF_CODE,BNF_DESCRIPTION,BNF_CHAPTER_PLUS_CODE,QUANTITY,ITEMS,TOTAL_QUANTITY,ADQUSAGE,NIC,ACTUAL_COST,UNIDENTIFIED,SNOMED_CODE
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0205052C0,Candesartan cilexetil,0205052C0AAABAB,Candesartan 4mg tablets,02: Cardiovascular System,56,2,112,56,8.48,6.80866,false,42372011000001109
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0501080W0,Trimethoprim,0501080W0AAAEAE,Trimethoprim 200mg tablets,05: Infections,14,10,140,70,14.5,11.72376,false,41956211000001109
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BIRMINGHAM DENTAL HOSPITAL,Y04376,5 MILL POOL WAY,,BIRMINGHAM,,B5 7EG,0501011P0,Phenoxymethylpenicillin (Penicillin V),0501011P0AAAJAJ,Phenoxymethylpenicillin 250mg tablets,05: Infections,14,1,14,3.5,0.54,0.54439,false,41953811000001101
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0106040M0,Macrogol 3350,0106040M0BCACAA,Laxido Orange oral powder sachets sugar free,01: Gastro-Intestinal System,30,10,300,0,49.9,47.52811,false,17420611000001107
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,2113,Catheter Maintenance Products,21130000118,Uro-Tainer Twin Solutio R citric acid 6% catheter maintenance solution,21: Appliances,1200,1,1200,0,109,109,false,7428911000001100
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,2113,Catheter Maintenance Products,21130000110,Uro-Tainer sodium chloride 0.9% catheter maintenance solution,21: Appliances,1500,1,1500,0,57.3,51.66822,false,3494611000001100
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,1202010W0,Fluticasone furoate,1202010W0BBAAAA,Avamys 27.5micrograms/dose nasal spray,"12: Ear, Nose and Oropharynx",1,1,1,0,6.44,6.13028,false,15046311000001109
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0501060D0,Clindamycin hydrochloride,0501060D0AAAMAM,Clindamycin 300mg capsules,05: Infections,84,1,84,42,31.75,31.8624,false,21711211000001104
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BIRMINGHAM DENTAL HOSPITAL,Y04376,5 MILL POOL WAY,,BIRMINGHAM,,B5 7EG,0603020C0,Betamethasone sodium phosphate,0603020C0AAABAB,Betamethasone 500microgram soluble tablets sugar free,06: Endocrine System,120,2,240,0,38.12,30.72016,false,39697311000001102
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0913011M0,Ready to serve 1.5 kcal/ml juice style (0913011),0913011M0BEABAA,Fortijuce liquid (5 flavours),09: Nutrition and Blood,2000,1,2000,0,18,18.0124,false,10613111000001107
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0501080W0,Trimethoprim,0501080W0AAAEAE,Trimethoprim 200mg tablets,05: Infections,6,9,54,27,5.58,4.57551,false,41956211000001109
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,2012,Swabs,20120000110,Gauze swab type 13 light BP 1988 8ply sterile 7.5cm x 7.5cm,20: Dressings,30,2,60,0,5.52,5.00107,false,3463111000001109
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0202020L0,Furosemide,0202020L0AABDBD,Furosemide 40mg tablets,02: Cardiovascular System,28,6,168,168,3.6,2.95434,false,42294811000001108
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0902021X0,Water for injection,0902021X0AAAPAP,Water for injections 10ml vials,09: Nutrition and Blood,10,1,10,0,24,22.91197,false,10676111000001105
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0407020AD,Oxycodone hydrochloride,0407020ADAAALAL,Oxycodone 10mg/1ml solution for injection ampoules,04: Central Nervous System,10,1,10,0,19.84,19.8524,false,36129811000001103
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,LEARNING DISABILITIES SERVICE,Y04221,THE GREENFIELDS,30 BROOKFIELD ROAD,BIRMINGHAM,,B30 3QY,0408010F0,Clonazepam,0408010F0AACQCQ,Clonazepam 500micrograms/5ml oral solution sugar free,04: Central Nervous System,900,1,900,22.5,381.9,381.9124,false,20128211000001100
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,1304000F0,Betamethasone valerate,1304000F0BCABCC,Fucibet cream,13: Skin,30,2,60,0,12.76,12.14657,false,399111000001108
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0301011R0,Salbutamol,0301011R0AAAXAX,Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials,03: Respiratory System,21,1,21,5.25,10.73,8.69622,false,39709611000001109
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0206010I0,Isosorbide dinitrate,0206010I0AAADAD,Isosorbide dinitrate 10mg tablets,02: Cardiovascular System,56,1,56,0,19.58,15.67607,false,42212011000001109
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0501012G0,Flucloxacillin sodium,0501012G0AAAAAA,Flucloxacillin 250mg capsules,05: Infections,56,1,56,14,3.26,2.62035,false,39692111000001101
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,1502010J0,Lidocaine hydrochloride,1502010J0BDAABQ,Instillagel gel,15: Anaesthesia,60,9,540,0,94.5,89.88491,false,8552411000001106
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0913011V0,Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),0913011V0BDAAAD,Fortisip Compact liquid (8 flavours),09: Nutrition and Blood,500,1,500,0,6.6,6.28228,false,16439411000001100
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,1502010J0,Lidocaine hydrochloride,1502010J0BDAABQ,Instillagel gel,15: Anaesthesia,44,1,44,0,4.4,4.29232,false,8552411000001106
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BIRMINGHAM DENTAL HOSPITAL,Y04376,5 MILL POOL WAY,,BIRMINGHAM,,B5 7EG,1203010E0,Benzydamine hydrochloride,1203010E0AAABAB,Benzydamine 0.15% oromucosal spray sugar free,"12: Ear, Nose and Oropharynx",60,10,600,0,41.34,34.6173,false,42100111000001106
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0501012G0,Flucloxacillin sodium,0501012G0AAAGAG,Flucloxacillin 250mg/5ml oral solution,05: Infections,300,1,300,15,13.89,11.12417,false,41950311000001104
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,2012,Swabs,20120000206,Non-woven fabric swab 4ply sterile 7.5cm x 7.5cm,20: Dressings,30,1,30,0,1.8,1.6351,false,3506511000001102
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BIRMINGHAM DENTAL HOSPITAL,Y04376,5 MILL POOL WAY,,BIRMINGHAM,,B5 7EG,0408010D0,Oxcarbazepine,0408010D0AAACAC,Oxcarbazepine 150mg tablets,04: Central Nervous System,63,1,63,12.6,20.65,16.63205,false,42132811000001108
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,LEARNING DISABILITIES SERVICE,Y04221,THE GREENFIELDS,30 BROOKFIELD ROAD,BIRMINGHAM,,B30 3QY,0406000V0,Promethazine teoclate,0406000V0AAAAAA,Promethazine teoclate 25mg tablets,04: Central Nervous System,56,1,56,56,8.46,8.04925,false,42040811000001101
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0601023AG,Dapagliflozin,0601023AGAAABAB,Dapagliflozin 10mg tablets,06: Endocrine System,28,3,84,0,109.77,104.31674,false,39689811000001104
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,190201000,Other individually formulated bought in preparations,190201000AABLBL,Exception Handler Unspecified Item,19: Other Drugs and Preparations,60,1,60,0,11.97,11.38369,false,
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0501050B0,Clarithromycin,0501050B0AAADAD,Clarithromycin 500mg tablets,05: Infections,28,1,28,28,8.26,6.62026,false,41946511000001109
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0208020AA,Edoxaban,0208020AAAAACAC,Edoxaban 60mg tablets,02: Cardiovascular System,14,1,14,0,24.5,23.38696,false,29903411000001101
202501,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED C,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUN,RYW00,BIRMINGHAM DENTAL HOSPITAL,Y04376,5 MILL POOL WAY,,BIRMINGHAM,,B5 7EG,1001040G0,Colchicine,1001040G0AAACAC,Colchicine 500microgram tablets,10: Musculoskeletal and Joint Diseases,56,1,56,0,1.19,1.06438,false,42101011000001101
