YEAR_MONTH,REGIONAL_OFFICE_NAME,REGIONAL_OFFICE_CODE,ICB_NAME,ICB_CODE,PCO_NAME,PCO_CODE,PRACTICE_NAME,PRACTICE_CODE,ADDRESS_1,ADDRESS_2,ADDRESS_3,ADDRESS_4,POSTCODE,BNF_CHEMICAL_SUBSTANCE_CODE,BNF_CHEMICAL_SUBSTANCE,BNF_PRESENTATION_CODE,BNF_PRESENTATION_NAME,BNF_CHAPTER_PLUS_CODE,QUANTITY,ITEMS,TOTAL_QUANTITY,ADQ_USAGE,NIC,ACTUAL_COST,UNIDENTIFIED,SNOMED_CODE
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,BIRMINGHAM DENTAL HOSPITAL,Y04376,5 MILL POOL WAY,,BIRMINGHAM,,B5 7EG,2121,Dry Mouth Products,21210000018,BioXtra Dry Mouth oral gel,21: Appliances,40,3,120,0,14.34,12.96412,N,915911000001104
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,2129,Pressure Offloading Device,21290000100,Kerraped all purpose boot small/medium/large/extra large,21: Appliances,2,7,14,0,261.52,243.17457,N,11701011000001108
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,BIRMINGHAM DENTAL HOSPITAL,Y04376,5 MILL POOL WAY,,BIRMINGHAM,,B5 7EG,1202010M0,Fluticasone propionate (Nasal),1202010M0AAACAC,Fluticasone propionate 50micrograms/dose nasal spray,"12: Ear, Nose and Oropharynx",2,9,18,67.5,198.18,188.38806,N,39110511000001100
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,LEARNING DISABILITIES SERVICE,Y04221,THE GREENFIELDS,30 BROOKFIELD ROAD,BIRMINGHAM,,B30 3QY,0402020AB,Paliperidone,0402020ABAAADAD,Paliperidone 150mg/1.5ml prolonged-release inj pf syringes,04: Central Nervous System,1,1,1,0,392.59,392.6024,N,19223611000001104
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,LEARNING DISABILITIES SERVICE,Y04221,THE GREENFIELDS,30 BROOKFIELD ROAD,BIRMINGHAM,,B30 3QY,040201060,Olanzapine,040201060AAACAC,Olanzapine 10mg tablets,04: Central Nervous System,60,2,120,120,9.82,8.07976,N,42275511000001100
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,BIRMINGHAM DENTAL HOSPITAL,Y04376,5 MILL POOL WAY,,BIRMINGHAM,,B5 7EG,2121,Dry Mouth Products,21210000004,Biotene Moisturising mouthwash,21: Appliances,500,2,1000,0,11.34,10.24735,N,7845411000001107
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,2315,Adhesive Removers (Sprays/Liquids/Wipes),23150901504,Appeel No Sting medical adhesive remover aerosol,23: Stoma Appliances,200,1,200,0,41.2,37.15252,N,8905211000001100
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0205052AE,Sacubitril/valsartan,0205052AEAAACAC,Sacubitril 24mg / Valsartan 26mg tablets,02: Cardiovascular System,84,1,84,0,137.34,137.3524,N,31142011000001104
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,BIRMINGHAM DENTAL HOSPITAL,Y04376,5 MILL POOL WAY,,BIRMINGHAM,,B5 7EG,0603020C0,Betamethasone sodium phosphate,0603020C0AAABAB,Betamethasone 500microgram soluble tablets sugar free,06: Endocrine System,30,1,30,0,4.58,3.77591,N,39697311000001100
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,BIRMINGHAM DENTAL HOSPITAL,Y04376,5 MILL POOL WAY,,BIRMINGHAM,,B5 7EG,0502030B0,Nystatin,0502030B0AAABAB,"Nystatin 100,000units/ml oral suspension",05: Infections,60,13,780,195,46.8,44.62249,N,41792811000001100
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,BIRMINGHAM DENTAL HOSPITAL,Y04376,5 MILL POOL WAY,,BIRMINGHAM,,B5 7EG,1203040E0,Chlorhexidine gluconate,1203040E0BBAIAB,Corsodyl 0.2% mouthwash alcohol free,"12: Ear, Nose and Oropharynx",600,1,600,0,6.88,6.54859,N,21967711000001104
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,CHILDREN AND FAMILIES DIVISION,Y04441,MOSELEY HALL HOSPITAL,ALCESTER ROAD,BIRMINGHAM,,B13 8JL,0304010W0,Promethazine hydrochloride,0304010W0AAADAD,Promethazine hydrochloride 10mg tablets,03: Respiratory System,56,1,56,22.4,4.23,3.39595,N,42040511000001100
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0202030S0,Spironolactone,0202030S0AAATAT,Spironolactone 25mg tablets,02: Cardiovascular System,28,6,168,168,7.02,5.68965,N,42216511000001100
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0501080W0,Trimethoprim,0501080W0AAADAD,Trimethoprim 100mg tablets,05: Infections,14,1,14,3.5,0.53,0.6424,N,41956111000001100
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,BIRMINGHAM DENTAL HOSPITAL,Y04376,5 MILL POOL WAY,,BIRMINGHAM,,B5 7EG,0501100H0,Dapsone,0501100H0AAAFAF,Dapsone 50mg tablets,05: Infections,56,2,112,112,24.72,24.7448,N,41947911000001100
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,BIRMINGHAM DENTAL HOSPITAL,Y04376,5 MILL POOL WAY,,BIRMINGHAM,,B5 7EG,0502030B0,Nystatin,0502030B0AAABAB,"Nystatin 100,000units/ml oral suspension",05: Infections,210,1,210,52.5,12.6,11.98275,N,41792811000001100
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,CHILDREN AND FAMILIES DIVISION,Y04441,MOSELEY HALL HOSPITAL,ALCESTER ROAD,BIRMINGHAM,,B13 8JL,0304010Y0,Alimemazine tartrate,0304010Y0AABCBC,Alimemazine 7.5mg/5ml oral solution sugar free,03: Respiratory System,300,1,300,22.5,504,504.0124,N,39355811000001100
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,CHILDREN AND FAMILIES DIVISION,Y04441,MOSELEY HALL HOSPITAL,ALCESTER ROAD,BIRMINGHAM,,B13 8JL,0404000L0,Dexamfetamine sulfate,0404000L0AAAJAJ,Dexamfetamine 5mg tablets,04: Central Nervous System,60,1,60,0,44.25,44.3624,N,39708411000001100
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,LEARNING DISABILITIES SERVICE,Y04221,THE GREENFIELDS,30 BROOKFIELD ROAD,BIRMINGHAM,,B30 3QY,040201060,Olanzapine,040201060BBAEAE,Zyprexa 5mg Velotabs,04: Central Nervous System,120,1,120,60,206.01,206.1224,N,91711000001108
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0902021X0,Water for injection,0902021X0AAADAD,Water for injections 10ml ampoules,09: Nutrition and Blood,25,1,25,0,6.98,7.0924,N,39719211000001100
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,BIRMINGHAM DENTAL HOSPITAL,Y04376,5 MILL POOL WAY,,BIRMINGHAM,,B5 7EG,0501060D0,Clindamycin hydrochloride,0501060D0AAAMAM,Clindamycin 300mg capsules,05: Infections,120,1,120,60,53.2,53.2124,N,21711211000001104
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,LEARNING DISABILITIES SERVICE,Y04221,THE GREENFIELDS,30 BROOKFIELD ROAD,BIRMINGHAM,,B30 3QY,0401040A0,Daridorexant,0401040A0AAABAB,Daridorexant 50mg tablets,04: Central Nervous System,60,1,60,0,84,79.81472,N,42235211000001100
2025-04,MIDLANDS,Y60,NHS BIRMINGHAM AND SOLIHULL INTEGRATED CARE BOARD,QHL,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,RYW00,BCHC MEDICINES MANAGEMENT,Y03942,WEST HEATH HOSPITAL,REDNAL ROAD,BIRMINGHAM,,B38 8HR,0501030I0,Doxycycline hyclate,0501030I0AAABAB,Doxycycline 100mg capsules,05: Infections,28,1,28,28,2.77,2.32811,N,41948311000001100
